Tasche;сумка;ßu̒mka;;
Garantie;гарантия;garа́ntija;;
Rückgaberecht;право возврата товара;prа́wa waswrа́ta tawа́ra;;
Kundenkarte;карта клиента;kа́rta klijе́nta;;
Mehrwertsteuer-Quittung;квитанция с НДС;kwitа́ntzija s än dä äs;;
Rabatt;скидка;ßki̒dka;;
Gang;ряд;rjad;;
Regal;полка;po̒lka;;
Umkleidekabine;примерочная кабина;primе́ratschnaja kabi̒na;;
Lieferung;поставка ;pastа́fka;;
Schlussverkauf;сезонная распродажа;ßiso̒naja raspradа́sha;;
Entschuldigen Sie, arbeiten Sie hier?;Извините, Вы здесь работаете?;Iswini̒te, wy sdes rabo̒taite?;;
Im Restaurant;В ресторане;W rißtarа́ne;;
Einen Tisch für X Personen, bitte.;Столик на X человек(а), пожалуйста.;ßto̒lik na X tschelowе́k(a), pashа́lujßta.;;
Ich würde gerne bestellen.;Я бы хотел(а) заказать.;Ja by chatе́l(a) sakasа́t.;;
Kann ich bitte die Karte haben?;Дайте меню, пожалуйста.;Dа́jte menju̒, pashа́lujßta.;;
Die Rechnung bitte.;Счёт, пожалуйста.;ßtschjot, pashа́lujßta.;;
Frühstück;завтрак;sа́ftrak;;
Mittagsessen;обед;abе́d;;
Abendessen;ужин;u̒shin;;
Besteck;столовые приборы;stalo̒wyje pribo̒ry;;
Serviette;салфетка;ßalfе́tka;;
Brunch;второй завтрак;ftaro̒j sа́ftrak;;
Hauptgang;основное блюдо;aßnawno̒je blju̒da;;
Dessert;десерт;dißе́rt;;
Trinkgeld;чаевые;tschajiwy̒je;;
Beilage;гарнир;garni̒r;;
Getränke;напитки;napi̒tki;;
all you can eat;шведский стол;schwе́dskij ßtol;;
Happy Hour;"акция ""счастливые часы""";"а́kzija ""schtschaßli̒wyje tschaßy̒""";;
Appetizer;закуски;saku̒ßki;;
Im Hotel;В гостинице, в отеле;W gasti̒nitze, w atä̒le;;
Zimmer;номер, комната;no̒mir, ko̒mnata;;
Zimmerservice;обслуживание номеров;abslu̒shiwanije namiro̒f;;
Badezimmer;ванная комната;wа́naja ko̒mnata;;
Bett;кровать;krawа́t ;;
Schlafzimmer;спальня;ßpа́lnja;;
Etage;этаж;ätа́sh;;
Aufzug;лифт;lift;;
Rezeption;стойка администратора (ресепшен);ßto̒jka adminißtrа́tara (rißä̒pschen);;
Handtuch;полотенце;palatе́ntze;;
Nebenräume;соседние комнаты;ßaßе́dnije ko̒mnaty;;
Gepäck;багаж;bagа́sh;;
Page;посыльный;paßy̒lnyj;;
Kochnische;миникухня;miniku̒chnja;;
Bettwäsche;постельное бельё;paßtе́lnaje biljo̒;;
Kammerdiener;камердинер;kamerdi̒ner;;
Lobby;лобби;lo̒bi;;
Anzahlung;аванс;awа́nß;;
Einchecken;заселиться в гостиницу;saßili̒tza w gaßti̒nitzu;;
Auschecken;выехать из гостиницы;wy̒jechat is gaßti̒nitzy;;
gratis;бесплатно;bißplа́tna;;
Zahlen;Числа;Tschi̒ßla;;
Eins;один ;adi̒n;;
Zwei;два;dwa;;
Drei;три;tri;;
Vier;четыре;tschity̒ri;;
Fünf;пять;pjat;;
Sechs;шесть;scheßt;;
Sieben;семь;ßem;;
Acht;восемь;wo̒ßim;;
Neun;девять;dе́wjat;;
Zehn;десять;dе́ßjat;;
Elf;одиннадцать;adi̒natzat;;
Zwölf;двенадцать;dwinа́tzat;;
Dreizehn;тринадцать;trinа́tzat;;
Vierzehn;четырнадцать;tschity̒rnatzat;;
Fünfzehn;пятнадцать;pitnа́tzat;;
Sechszehn;шестнадцать;schyßnа́tzat;;
Siebzehn;семнадцать;ßimnа́tzat;;
Achtzehn;восемнадцать;waßimnа́tzat;;
Neunzehn;девятнадцать;diwjatnа́tzat;;
Zwanzig;двадцать;dwа́tzat;;
Dreißig;тридцать;tri̒tzat;;
Vierzig;сорок;ßo̒rak;;
Fünfzig;пятьдесят;pidißjа́t;;
Sechszig;шестьдесят;schyßdißjа́t;;
Siebzieg;семьдесят;ßе́mdißat;;
Achzig;восемьдесят;wo̒ßimdißat;;
Neunzig;девяносто;diwino̒ßta;;
Hundert;сто;ßto;;
Zweihundert;двести;dwе́ßti;;
Tausend;тысяча;ty̒ßitscha;;
Zweitausend;две тысячи;dwe ty̒ßitschi;;
Million;миллион;milio̒n;;
Milliarde;миллиард;miliа́rd;;
erste(r) ;первая (первый);pе́rwaja(pе́rwyj);;
zweite(r) ;вторая (второй);ftarа́ja (ftaro̒j);;
dritte(r) ;третья (третий);trе́tja (trе́tij);;
vierte(r) ;четвёртая (четвёртый);tschitwjo̒rtaja (tschitwjo̒rtyj);;
fünfte(r) ;пятая (пятый);pjа́taja (pjа́tyj);;
sechste(r) ;шестая (шестой);scheßtа́ja (scheßto̒j);;
siebte(r) ;седьмая (седьмой);ßedmа́ja (ßedmo̒j);;
Personalpronomen;Личные местоимения;Li̒tschnyje mestaimе́nija;;
ich;я;ja;;
du ;ты;ty;;
er;он;on;;
sie;она;anа́;;
es;оно;ano̒;;
wir;мы;my;;
ihr;вы;wy;;
sie;они;ani̒;;
Wichtige Wörter;Важные слова;Wа́shnyje slawа́;;
Ding;вещь, предмет;wetschsch, pridmе́t;;
sicher;безопасный;bisapа́ßnyj;;
und;и;i;;
oder;или;i̒li;;
weil;потому что;patamu̒ schta;;
Leben;жизнь;shysn;;
Regierung;правительство;prawi̒telßtwa;;
Kind;ребёнок;ribjo̒nak;;
Firma;фирма;fi̒rma;;
Gruppe;группа;gru̒pa;;
Alter;возраст;wo̒sraßt;;
Mond;луна (Himmelskörper, Vollmond), месяц (Neumond);lunа́, mе́ßitz;;
Sonne;солнце;ßo̒lntzä;;
Auto;машина, автомобиль;maschy̒na, aftamabi̒l;;
Buch;книга;kni̒ga;;
Welt;мир;mir;;
Familie;семья;ßimjа́;;
Freund;друг;drug;;
Gesetz;закон;sako̒n;;
Mensch / Körper;Человек / Тело;Tschilawе́k / Tе́la;;
Mann;мужчина;muschtschi̒na;;
Frau;женщина;shе́nschtschina;;
Junge;мальчик;mа́ltschik;;
Mädchen;девочка;dе́watschka;;
Arm;рука;rukа́;;
Hand;рука, ладонь;rukа́, lado̒n;;
Bein;нога;nagа́;;
Fuß;нога, ступня;nagа́, ßtupnjа́;;
Auge;глаз;glas;;
Kopf;голова;galawа́;;
Gehirn;мозг;mosg;;
Nase;нос;nos;;
Ohr;ухо;u̒cha;;
Haar;волос(ы);wo̒laßy;;
Augenbraue;бровь;brof;;
Lippen;губы;gu̒by;;
Finger;палец (Pl. пальцы);pа́litz (Pl. pа́ltzy);;
Skelett;скелет;skilе́t;;
Knochen;кость (Pl. кости);koßt (Pl. ko̒ßti);;
Haut;кожа;ko̒sha;;
Wichtige Verben;Важные глаголы;Wа́shnyje glago̒ly;;
sein;быть;byt;;
bekommen;получать (получить);palutschа́t (palutschi̒t);;
geben;давать (дать);dawа́t (dat);;
leben;жить;shyt;;
machen;делать;dе́lat;;
gehen;идти, ходить;idti̒, chadi̒t;;
benutzen;использовать;ißpo̒lsawat;;
essen;есть, кушать;jeßt, ku̒schat;;
denken;думать;du̒mat;;
kommen;приходить (прийти);prichadi̒t (prijti̒);;
haben;иметь;imе́t;;
tun;делать;dе́lat;;
sagen;говорить, сказать;gawari̒t, ßkasа́t;;
wissen;знать;snat;;
sehen;видеть, смотреть;wi̒dit, smatrе́t;;
wollen;хотеть;chatе́t;;
finden;находить (найти);nachadi̒t (najti̒);;
erzählen;рассказывать (рассказать);raßkа́sywat (raßkasа́t);;
fragen;спрашивать (спросить);ßprа́schiwat (ßpraßi̒t);;
versuchen;пытаться, пробовать;pytа́tza, pro̒bawat;;
anrufen;звонить;swani̒t;;
Wichtige Adjektive;Важные прилагательные;Wа́shnyje prilagа́tilnyje;;
schön;красивый;kraßi̒wyj;;
hässlich;уродливый, некрасивый;uro̒dliwyj, nikraßi̒wyj;;
hoch;высокий;wyßo̒kij;;
klein;маленький;mа́linkij;;
groß;большой;balscho̒j;;
neu;новый;no̒wyj;;
lang;длинный, долгий;dli̒nyj;;
großartig;прекрасный, чудесный;prikrа́ßnyj;;
alt;старый;ßtа́ryj;;
jung;молодой;malado̒j;;
anders;другой;drugo̒j;;
wichtig;важный;wа́shnyj;;
schlecht;плохой;placho̒j;;
lustig;весёлый;wißjo̒lyj;;
ernst;серьёзный;ßirjo̒snyj;;
stark;сильный;ßi̒lnyj;;
einfach;простой;praßto̒j;;
schwer;сложный, трудный, тяжёлый;ßlo̒shnyj, tru̒dnyj, tjasho̒lyj;;
arm;бедный;bе́dnyj;;
reich;богатый;bagа́tyj;;
